Client,Round,R² Score
Client 4,2012_4,0.9047733010994647
Client 4,2012_5,0.9248268527614162
Client 4,2012_6,0.918892761300974
Client 4,2012_7,0.9422123966411357
Client 4,2012_8,0.9573231533671253
Client 4,2012_9,0.9299046493594231
Client 4,2012_10,0.9547397803361503
Client 5,2010_2,0.9492608314512853
Client 5,2010_3,0.9530873914746814
Client 5,2010_4,0.8797419732595396
Client 5,2010_5,0.9072865394821024
Client 5,2010_6,0.9512624679881365
Client 5,2010_7,0.9520490438369795
Client 5,2010_8,0.9403634477817161
Client 5,2010_9,0.9508874777931268
Client 5,2010_10,0.9648917516111261
Client 5,2010_11,0.9227683477101145
Client 5,2010_12,0.8396387723696864
Client 5,2011_1,0.9495605056957465
Client 5,2011_2,0.9503145451591701
Client 5,2011_3,0.948366277610249
Client 5,2011_4,0.9567976081831112
Client 5,2011_5,0.9421839017488776
Client 5,2011_6,0.9409663548208989
Client 5,2011_7,0.9461826423523648
Client 5,2011_8,0.9366322698718085
Client 5,2011_9,0.9292171347842134
Client 5,2011_10,0.9396746224878415
Client 5,2011_11,0.9162549263302998
Client 5,2011_12,0.8653850639639624
Client 5,2012_1,0.9561260893208916
Client 5,2012_2,0.9530457787229649
Client 5,2012_3,0.9587389196567792
Client 5,2012_4,0.8409951559431859
Client 5,2012_5,0.945626817243797
Client 5,2012_6,0.8864704635723255
Client 5,2012_7,0.9415202719398519
Client 5,2012_8,0.940889693793399
Client 5,2012_9,0.9380029303103584
Client 5,2012_10,0.9671029804098915
Client 6,2010_2,0.9319157200513791
Client 6,2010_3,0.8958596930341162
Client 6,2010_4,0.9208526832967117
Client 6,2010_5,0.9127453095696656
Client 6,2010_6,0.9068437734410744
Client 6,2010_7,0.8766378688280161
Client 6,2010_8,0.9037341847622686
Client 6,2010_9,0.9044124137165753
Client 6,2010_10,0.9148500141413438
Client 6,2010_11,0.909985589588523
Client 6,2010_12,0.7195722844211814
Client 6,2011_1,0.918327232651648
Client 6,2011_2,0.9218121232864465
Client 6,2011_3,0.9485917529514257
Client 6,2011_4,0.929585710566248
Client 6,2011_5,0.9009186606529942
Client 6,2011_6,0.8900745611304361
Client 6,2011_7,0.9106485711085558
Client 6,2011_8,0.9135168784311576
Client 6,2011_9,0.8985710426045486
Client 6,2011_10,0.9082985379953906
Client 6,2011_11,0.8920622511985377
Client 6,2011_12,0.8349930147269438
Client 6,2012_1,0.9094659182055828
Client 6,2012_2,0.9091130475711435
Client 6,2012_3,0.9291763147870793
Client 6,2012_4,0.8747020141870462
Client 6,2012_5,0.9103615472713044
Client 6,2012_6,0.8733117492765019
Client 6,2012_7,0.915223337717558
Client 6,2012_8,0.8990615633469227
Client 6,2012_9,0.9153079973334757
Client 6,2012_10,0.906107884659598
Client 7,2010_2,0.9591848769913452
Client 7,2010_3,0.9524946664329703
Client 7,2010_4,0.9340860178262003
Client 7,2010_5,0.918648848119143
Client 7,2010_6,0.9250232870816528
Client 7,2010_7,0.9432767361139285
Client 7,2010_8,0.9583888730157164
Client 7,2010_9,0.9513513613013418
Client 7,2010_10,0.9760244145389145
Client 7,2010_11,0.9419863111176169
Client 7,2010_12,0.9056898835700178
Client 7,2011_1,0.9653238662489623
Client 7,2011_2,0.9511893836954294
Client 7,2011_3,0.9701606721179068
Client 7,2011_4,0.9551144457117907
Client 7,2011_5,0.9476323254065262
Client 7,2011_6,0.9517652580162782
Client 7,2011_7,0.9621046536274124
Client 7,2011_8,0.9591648095141616
Client 7,2011_9,0.9476617317109227
Client 7,2011_10,0.9767025877841492
Client 7,2011_11,0.946436094439716
Client 7,2011_12,0.8893600048371391
