Client,Round,R² Score
Client 7,2012_5,0.999912676175678
Client 7,2012_6,0.9999137829975028
Client 7,2012_7,0.9999053973389371
Client 7,2012_8,0.9994576171575746
Client 8,2010_2,0.9994333596001574
Client 8,2010_3,0.2589376261056465
Client 8,2010_4,0.6300534414415635
Client 8,2010_5,0.7305320519665699
Client 8,2010_6,0.8843762697822234
Client 8,2010_7,0.9872720381706485
Client 8,2010_8,0.988538549770937
Client 8,2010_9,0.9973000091047405
Client 8,2010_10,0.9989532480883347
Client 8,2010_11,0.9995363471894975
Client 8,2010_12,0.9995323923144426
Client 8,2011_1,0.9997549584084994
Client 8,2011_2,0.9997931499615506
Client 8,2011_3,0.9997456671936998
Client 8,2011_4,0.9997918664201874
Client 8,2011_5,0.9997585556457013
Client 8,2011_6,0.9997593581208035
Client 8,2011_7,0.9993416025681253
Client 8,2011_8,0.9995230546454066
Client 8,2011_9,0.9993622370456428
Client 8,2011_10,0.9998222340160425
Client 8,2011_11,0.9996481732898862
Client 8,2011_12,0.9999249925553679
Client 8,2012_1,0.9999465886410253
Client 8,2012_2,0.9998051857248318
Client 8,2012_3,0.9994537075485402
Client 8,2012_4,0.9999756062187103
Client 8,2012_5,0.9995938549059491
Client 8,2012_6,0.9987590105876605
Client 8,2012_7,0.9998912128330675
Client 8,2012_8,0.9999842490480267
Client 9,2010_2,0.99950986054663
Client 9,2010_3,0.21447114625598018
Client 9,2010_4,0.5308154185465865
Client 9,2010_5,0.7168459443760858
Client 9,2010_6,0.7517208693698939
Client 9,2010_7,0.8149670217884033
Client 9,2010_8,0.9395183627321368
Client 9,2010_9,0.9970112068387408
Client 9,2010_10,0.9991750005407407
Client 9,2010_11,0.9995192541926372
Client 9,2010_12,0.9993584002195458
Client 9,2011_1,0.9996151300649726
Client 9,2011_2,0.9988265060396558
Client 9,2011_3,0.9997835855774215
Client 9,2011_4,0.9997455749438724
Client 9,2011_5,0.999950411614272
Client 9,2011_6,0.9999618627368474
