Client,Round,R² Score
Client 6,2012_2,0.908592264783009
Client 6,2012_3,0.929139578765475
Client 6,2012_4,0.875241022741436
Client 6,2012_5,0.9103708102469562
Client 6,2012_6,0.8735559582632468
Client 6,2012_7,0.9185303518773092
Client 6,2012_8,0.8994702348970357
Client 6,2012_9,0.916211909274351
Client 6,2012_10,0.9071794287451426
Client 7,2010_2,0.9591848769913452
Client 7,2010_3,0.9522173284664919
Client 7,2010_4,0.9334960699269128
Client 7,2010_5,0.9184746208864007
Client 7,2010_6,0.9254043581791941
Client 7,2010_7,0.9436303605045456
Client 7,2010_8,0.9584248869462555
Client 7,2010_9,0.9511192144016747
Client 7,2010_10,0.9776361588843725
Client 7,2010_11,0.9419439975444829
Client 7,2010_12,0.8994211918067874
Client 7,2011_1,0.964304709124251
Client 7,2011_2,0.9515970617955327
Client 7,2011_3,0.9699815187097472
Client 7,2011_4,0.9565935891023083
Client 7,2011_5,0.9480624856905361
Client 7,2011_6,0.9513131013909102
Client 7,2011_7,0.9623493382755437
Client 7,2011_8,0.9599433382284742
Client 7,2011_9,0.9478425515877086
Client 7,2011_10,0.9765684307189871
Client 7,2011_11,0.9460157874400358
Client 7,2011_12,0.892988460002709
Client 7,2012_1,0.9737765127282817
Client 7,2012_2,0.9483393720814175
Client 7,2012_3,0.9722022658393259
Client 7,2012_4,0.9401081416299473
Client 7,2012_5,0.9399800415125061
Client 7,2012_6,0.9466155629132654
Client 7,2012_7,0.9645576449355935
Client 7,2012_8,0.9692068052732272
Client 7,2012_9,0.9604382212584024
Client 7,2012_10,0.9622158660165014
Client 8,2010_2,0.8952816632520572
Client 8,2010_3,0.8881123707528981
Client 8,2010_4,0.9174069599764519
Client 8,2010_5,0.8952895252656492
Client 8,2010_6,0.9489532959295802
Client 8,2010_7,0.9328774044767169
Client 8,2010_8,0.9370143649916002
Client 8,2010_9,0.934344585095602
Client 8,2010_10,0.9167973325658426
Client 8,2010_11,0.91199412184925
Client 8,2010_12,0.8699858879846537
Client 8,2011_1,0.9301624092444315
Client 8,2011_2,0.9345852607485098
Client 8,2011_3,0.9191703011804094
Client 8,2011_4,0.8805597696372915
Client 8,2011_5,0.9545346347496337
Client 8,2011_6,0.9560633257490113
Client 8,2011_7,0.9573130805072261
Client 8,2011_8,0.9698656305976057
Client 8,2011_9,0.9558720406491399
Client 8,2011_10,0.9374811590249374
Client 8,2011_11,0.9276820029777396
Client 8,2011_12,0.8727781936451484
Client 8,2012_1,0.9582966338197197
Client 8,2012_2,0.937268180142259
Client 8,2012_3,0.9409733980262184
Client 8,2012_4,0.9522946141318444
Client 8,2012_5,0.9372573870689342
Client 8,2012_6,0.950197160817414
Client 8,2012_7,0.9666482821768705
Client 8,2012_8,0.9629489135597921
Client 8,2012_9,0.951642773153979
Client 8,2012_10,0.9595007530008367
Client 9,2010_2,0.9398448022811086
Client 9,2010_3,0.9472505101950225
Client 9,2010_4,0.9031344436218205
Client 9,2010_5,0.8961817809344406
Client 9,2010_6,0.8726730994119262
Client 9,2010_7,0.9409805811785432
